date,MHI,btc_price,dailycases,sentiment_index
2021-04-03,29.06,57059.9,531674,-11.24
2021-04-02,26.72,58977.3,636543,-12.39
2021-04-01,26.09,58718.3,713657,-12.27
2021-03-31,26.27,58763.7,684699,-12.87
2021-03-30,28.28,58771.3,569988,-24.57
2021-03-29,24.67,57616.2,457623,-22.4
2021-03-28,26.37,55765.2,475431,-27.41
2021-03-27,25.48,55862.9,585823,-25.4
2021-03-26,27.28,55036.1,642927,-30.31
2021-03-25,25.76,51322.3,653391,-41.48
2021-03-24,25.53,52325.4,635467,-41.59
2021-03-23,25.82,54452.5,515865,-29.99
2021-03-22,26.43,54158.3,416314,-29.57
2021-03-21,26.44,57383.8,436914,-29.56
2021-03-20,26.78,58093.4,501508,-34.12
2021-03-19,27.71,58088,564368,-31.18
2021-03-18,27.07,57656,543903,-20.24
2021-03-17,27.06,58913.5,551602,-20.03
2021-03-16,28.26,56889.7,467561,-19.48
2021-03-15,30.5,55791.3,348978,-18.93
2021-03-14,27.58,59113.7,364419,-6.01
2021-03-13,28.45,61195.3,457042,3.18
2021-03-12,28.59,57265.1,491790,5.26
2021-03-11,26.65,57799.5,479188,4.96
2021-03-10,25.22,55851.9,469408,3.67
2021-03-09,27.61,54879,415481,3.39
2021-03-08,27.97,52311,300288,3.24
2021-03-07,27.23,50982.3,372637,1.67
2021-03-06,29.1,48855.6,415168,-10.01
2021-03-05,25.49,48792.5,449881,-10.57
2021-03-04,27.59,48428,456327,-9.86
2021-03-03,26.8,50395.1,443639,-8.15
2021-03-02,28.34,48424.2,313462,-8.15
2021-03-01,27.28,49595.5,304794,-8.71
2021-02-28,25.65,45164,309000,-10.47
2021-02-27,25.8,46136.7,394045,-0.36
2021-02-26,25.28,46345.6,446974,-1.63
2021-02-25,25.76,46928.5,451043,-2.46
2021-02-24,25.51,49697.5,448152,-2.98
2021-02-23,28.42,48911.2,392056,-2.86
2021-02-22,25.56,54111.8,289756,-2.3
2021-02-21,23.92,57433.8,320727,-7.47
2021-02-20,26.73,55923.7,375829,-17.3
2021-02-19,27.23,55906.6,414214,-18.06
2021-02-18,29.27,51582.2,407899,-17.67
2021-02-17,27.48,52079.2,397891,-17.57
2021-02-16,27.84,49169.7,350329,-19.57
2021-02-15,28.04,47936.3,286411,-20.41
2021-02-14,24.75,48643.4,300059,-13.43
2021-02-13,27.1,47168.7,378216,-1.86
2021-02-12,26.71,47371.7,431548,0.42
2021-02-11,25.64,47990.7,444933,0.81
2021-02-10,27.71,44836,439344,0.56
2021-02-09,29.22,46508.6,430820,2.23
2021-02-08,27.42,46395.7,313764,1.82
2021-02-07,26.14,38852.9,405792,-9.6
2021-02-06,29.24,39256.6,381773,-10.21
2021-02-05,27.41,38297.6,535754,-9.86
2021-02-04,27.92,36982.1,469421,-10.63
2021-02-03,31.09,37646.8,527214,-9.93
2021-02-02,31.26,35485.2,460114,-9.56
