date,MHI,btc_price
2020-09-22,30.44,10531.5
2020-09-21,28.34,10416.8
2020-09-20,26.75,10921.5
2020-09-19,31.78,11081.8
2020-09-18,31.01,10933
2020-09-17,31.66,10941.3
2020-09-16,31.09,10949.5
2020-09-15,31.23,10785.3
2020-09-14,31.98,10675.3
2020-09-13,31.85,10326
2020-09-12,31.49,10441.9
2020-09-11,31.95,10390.2
2020-09-10,31.94,10339.7
2020-09-09,32.9,10224.6
2020-09-08,32.08,10126.6
2020-09-07,30.25,10376.9
2020-09-06,31.51,10296.4
2020-09-05,32.78,10092.2
2020-09-04,33.43,10472.5
2020-09-03,33.05,10168.8
2020-09-02,32.81,11413.3
2020-09-01,33.48,11914.9
2020-08-31,32.06,11644.2
2020-08-30,30.93,11702
2020-08-29,32.04,11468.1
2020-08-28,31.45,11527.4
2020-08-27,32.37,11327.4
2020-08-26,34.14,11462.3
2020-08-25,34.44,11324.8
2020-08-24,34.27,11753.5
2020-08-23,34.87,11641.6
2020-08-22,34.47,11661.3
2020-08-21,33.33,11529.2
2020-08-20,33.6,11856.9
2020-08-19,34.74,11750.2
2020-08-18,34.49,11947.6
2020-08-17,35.5,12282.6
2020-08-16,35.55,11899
2020-08-15,34.96,11845.3
2020-08-14,35.98,11750.8
2020-08-13,35.41,11770.9
2020-08-12,35.3,11557.2
2020-08-11,34.98,11390.4
2020-08-10,37.05,11889.2
2020-08-09,36.24,11681.2
2020-08-08,36.32,11764.3
2020-08-07,36.78,11592
2020-08-06,36.69,11757.1
2020-08-05,35.49,11735.1
2020-08-04,36.15,11184.7
2020-08-03,40.42,11224.4
2020-08-02,35.98,11066.8
2020-08-01,37.84,11803.1
2020-07-31,38.55,11333.4
2020-07-30,38.67,11096.2
2020-07-29,39.02,11105.9
2020-07-28,40.12,10908.5
2020-07-27,39.05,11022.8
2020-07-26,39.59,9932.5
2020-07-25,37.45,9704.1
2020-07-24,39.49,9546.4
2020-07-23,37.3,9599.6
2020-07-22,38.28,9513.7
2020-07-21,37.49,9387.3
2020-07-20,40.21,9162.4
2020-07-19,38.51,9208
2020-07-18,38.55,9170.2
2020-07-17,37.78,9155.8
2020-07-16,38.68,9135.3
2020-07-15,38.75,9198.7
2020-07-14,38.07,9253.4
2020-07-13,41.92,9243.6
