Date,MCI
2021-02-19,71.72
2021-02-20,71.8
2021-02-21,67.69
2021-02-22,70.65
2021-02-23,71.71
2021-02-24,71.99
2021-02-25,72.87
2021-02-26,72.57
2021-02-27,72.22
2021-02-28,70.83
2021-03-01,72.63
2021-03-02,71.75
2021-03-03,72.3
2021-03-04,72.92
2021-03-05,72.39
2021-03-06,71.78
2021-03-07,70.83
2021-03-08,72.4
2021-03-09,71.11
2021-03-10,71.25
2021-03-11,72.64
2021-03-12,72.3
2021-03-13,71.62
2021-03-14,70.26
2021-03-15,71.18
2021-03-16,70.64
2021-03-17,70.47
2021-03-18,71.44
2021-03-19,71.73
2021-03-20,70.79
2021-03-21,68.49
2021-03-22,70.03
2021-03-23,69.95
2021-03-24,71.05
2021-03-25,70.83
2021-03-26,70.46
2021-03-27,69.44
2021-03-28,67.65
2021-03-29,68.6
2021-03-30,70.43
2021-03-31,70.94
2021-04-01,71.35
2021-04-02,70.06
2021-04-03,69.61
2021-04-04,69.29
2021-04-05,69.72
2021-04-06,68.11
2021-04-07,70.24
2021-04-08,70.95
2021-04-09,69.99
2021-04-10,69.62
2021-04-11,69.18
2021-04-12,69.78
2021-04-13,68.51
2021-04-14,70.27
2021-04-15,69.91
2021-04-16,69.79
2021-04-17,68.21
2021-04-18,68.26
2021-04-19,68.63
2021-04-20,68.41
2021-04-21,69.07
2021-04-22,69.04
2021-04-23,68.59
2021-04-24,68.48
2021-04-25,68.54
2021-04-26,68.28
2021-04-27,67.86
2021-04-28,70.62
2021-04-29,69.22
2021-04-30,70.4
2021-05-01,69.59
2021-05-02,67.56
2021-05-03,65.91
2021-05-04,69.05
2021-05-05,68.9
2021-05-06,68.23
2021-05-07,68.7
2021-05-08,68.61
2021-05-09,67.39
2021-05-10,66.21
2021-05-11,68.08
2021-05-12,69.23
2021-05-13,68.73
2021-05-14,69.08
2021-05-15,68.21
2021-05-16,67.03
2021-05-17,65.26
2021-05-18,68.04
2021-05-19,67.49
2021-05-20,66.38
2021-05-21,67.77
2021-05-22,66.78
2021-05-23,64.99
