areaCode,areaName,areaType,date,newPeopleVaccinatedCompleteByPublishDate
K02000001,United Kingdom,overview,2021-02-21,9177
K02000001,United Kingdom,overview,2021-02-20,10263
K02000001,United Kingdom,overview,2021-02-19,15294
K02000001,United Kingdom,overview,2021-02-18,15867
K02000001,United Kingdom,overview,2021-02-17,15147
K02000001,United Kingdom,overview,2021-02-16,12412
K02000001,United Kingdom,overview,2021-02-15,6535
K02000001,United Kingdom,overview,2021-02-14,1915
K02000001,United Kingdom,overview,2021-02-13,2846
K02000001,United Kingdom,overview,2021-02-12,4775
K02000001,United Kingdom,overview,2021-02-11,5647
K02000001,United Kingdom,overview,2021-02-10,4894
K02000001,United Kingdom,overview,2021-02-09,3161
K02000001,United Kingdom,overview,2021-02-08,3811
K02000001,United Kingdom,overview,2021-02-07,862
K02000001,United Kingdom,overview,2021-02-06,1662
K02000001,United Kingdom,overview,2021-02-05,4064
K02000001,United Kingdom,overview,2021-02-04,4036
K02000001,United Kingdom,overview,2021-02-03,2995
K02000001,United Kingdom,overview,2021-02-02,2166
K02000001,United Kingdom,overview,2021-02-01,2587
K02000001,United Kingdom,overview,2021-01-31,3156
K02000001,United Kingdom,overview,2021-01-30,10621
K02000001,United Kingdom,overview,2021-01-29,2178
K02000001,United Kingdom,overview,2021-01-28,1769
K02000001,United Kingdom,overview,2021-01-27,2329
K02000001,United Kingdom,overview,2021-01-26,1710
K02000001,United Kingdom,overview,2021-01-25,1968
K02000001,United Kingdom,overview,2021-01-24,818
K02000001,United Kingdom,overview,2021-01-23,1043
K02000001,United Kingdom,overview,2021-01-22,1821
K02000001,United Kingdom,overview,2021-01-21,2760
K02000001,United Kingdom,overview,2021-01-20,3411
K02000001,United Kingdom,overview,2021-01-19,3759
K02000001,United Kingdom,overview,2021-01-18,4565
K02000001,United Kingdom,overview,2021-01-17,2239
K02000001,United Kingdom,overview,2021-01-16,2620
K02000001,United Kingdom,overview,2021-01-15,4208
K02000001,United Kingdom,overview,2021-01-14,5257
K02000001,United Kingdom,overview,2021-01-13,9745
K02000001,United Kingdom,overview,2021-01-12,16065
K02000001,United Kingdom,overview,2021-01-11,20768
