date,fngvalue,MHI,MCI,year
2021-05-27,27,22.36,67.6,2021
2021-05-26,22,22.79,66.75,2021
2021-05-25,22,23.05,65.46,2021
2021-05-24,10,22.36,66.11,2021
2021-05-23,14,22.88,64.99,2021
2021-05-22,12,25.96,66.78,2021
2021-05-21,19,23.36,67.77,2021
2021-05-20,11,22.54,66.38,2021
2021-05-19,23,22.96,67.49,2021
2021-05-18,21,24.58,68.04,2021
2021-05-17,27,23.49,65.26,2021
2021-05-16,20,22.69,67.03,2021
2021-05-15,27,24.81,68.21,2021
2021-05-14,26,24.47,69.08,2021
2021-05-13,31,23.97,68.73,2021
2021-05-12,68,24.38,69.23,2021
2021-05-11,61,24.34,68.08,2021
2021-05-10,72,23.79,66.21,2021
2021-05-09,73,22.9,67.39,2021
2021-05-08,67,25.69,68.61,2021
2021-05-07,64,23.84,68.7,2021
2021-05-06,65,23.95,68.23,2021
2021-05-05,48,24.51,68.9,2021
2021-05-04,68,24.93,69.05,2021
2021-05-03,61,22.11,65.91,2021
2021-05-02,66,25.58,67.56,2021
2021-05-01,68,24.93,69.59,2021
2021-04-30,51,23.54,70.4,2021
2021-04-29,52,23.08,69.22,2021
2021-04-28,59,25.97,70.62,2021
2021-04-27,50,24.76,67.86,2021
2021-04-26,27,27.5,68.28,2021
2021-04-25,31,23.98,68.54,2021
2021-04-24,37,25.37,68.48,2021
2021-04-23,55,22.53,68.59,2021
2021-04-22,65,22.94,69.04,2021
2021-04-21,73,22.67,69.07,2021
2021-04-20,73,23.63,68.41,2021
2021-04-19,74,25.52,68.63,2021
2021-04-18,79,25.31,68.26,2021
2021-04-17,76,23.32,68.21,2021
2021-04-16,78,23.82,69.79,2021
2021-04-15,79,24.62,69.91,2021
2021-04-14,75,26.62,70.27,2021
2021-04-13,74,24.56,68.51,2021
2021-04-12,74,25.05,69.78,2021
2021-04-11,76,24.16,69.18,2021
2021-04-10,70,25.6,69.62,2021
2021-04-09,70,25.57,69.99,2021
2021-04-08,73,26.49,70.95,2021
2021-04-07,72,27.85,70.24,2021
2021-04-06,75,26.77,68.11,2021
2021-04-05,71,27.15,69.72,2021
2021-04-04,74,27.39,69.29,2021
2021-04-03,73,29.06,69.61,2021
2021-04-02,74,26.72,70.06,2021
2021-04-01,74,26.09,71.35,2021
2021-03-31,76,26.27,70.94,2021
2021-03-30,72,28.28,70.43,2021
2021-03-29,72,24.67,68.6,2021
2021-03-28,74,26.37,67.65,2021
2021-03-27,65,25.48,69.44,2021
2021-03-26,54,27.28,70.46,2021
2021-03-25,60,25.76,70.83,2021
2021-03-24,65,25.53,71.05,2021
2021-03-23,66,25.82,69.95,2021
2021-03-22,70,26.43,70.03,2021
2021-03-21,73,26.44,68.49,2021
2021-03-20,75,26.78,70.79,2021
2021-03-19,71,27.71,71.73,2021
2021-03-18,72,27.07,71.44,2021
2021-03-17,71,27.06,70.47,2021
2021-03-16,71,28.26,70.64,2021
2021-03-15,76,30.5,71.18,2021
2021-03-14,78,27.58,70.26,2021
2021-03-13,74,28.45,71.62,2021
2021-03-12,70,28.59,72.3,2021
2021-03-11,73,26.65,72.64,2021
2021-03-10,68,25.22,71.25,2021
2021-03-09,81,27.61,71.11,2021
2021-03-08,81,27.97,72.4,2021
2021-03-07,76,27.23,70.83,2021
2021-03-06,77,29.1,71.78,2021
2021-03-05,77,25.49,72.39,2021
2021-03-04,84,27.59,72.92,2021
2021-03-03,78,26.8,72.3,2021
2021-03-02,78,28.34,71.75,2021
2021-03-01,38,27.28,72.63,2021
2021-02-28,55,25.65,70.83,2021
2021-02-27,56,25.8,72.22,2021
2021-02-26,55,25.28,72.57,2021
2021-02-25,79,25.76,72.87,2021
2021-02-24,76,25.51,71.99,2021
2021-02-23,94,28.42,71.71,2021
2021-02-22,94,25.56,70.65,2021
2021-02-21,91,23.92,67.69,2021
2021-02-20,91,26.73,71.8,2021
2021-02-19,93,27.23,71.72,2021
2021-02-18,91,29.27,71.53,2021
2021-02-17,95,27.48,71.96,2021
2021-02-16,95,27.84,69.97,2021
2021-02-15,93,28.04,71.15,2021
2021-02-14,95,24.75,70.32,2021
2021-02-13,92,27.1,71.97,2021
2021-02-12,92,26.71,72.19,2021
2021-02-11,93,25.64,73.04,2021
2021-02-10,92,27.71,72.91,2021
2021-02-09,95,29.22,72.32,2021
2021-02-08,83,27.42,71.62,2021
2021-02-07,86,26.14,72.52,2021
2021-02-06,84,29.24,71.55,2021
2021-02-05,81,27.41,73.49,2021
2021-02-04,80,27.92,73.53,2021
2021-02-03,78,31.09,71.91,2021
2021-02-02,76,31.26,73.35,2021
2021-02-01,77,33.38,74.37,2021
2021-01-31,78,29.94,73.39,2021
2021-01-30,76,31.65,73.69,2021
2021-01-29,77,31.1,74.27,2021
2021-01-28,55,32.38,74.15,2021
2021-01-27,78,31.89,73.95,2021
2021-01-26,71,33.3,73.89,2021
2021-01-25,74,31.42,72.39,2021
2021-01-24,70,30.65,72.95,2021
2021-01-23,74,33.43,73.33,2021
2021-01-22,40,31.14,72.69,2021
2021-01-21,75,32.11,73.53,2021
2021-01-20,78,32.05,72.98,2021
2021-01-19,80,32.89,71.45,2021
2021-01-18,79,31.73,73.2,2021
2021-01-17,79,32.22,71.76,2021
2021-01-16,84,31.97,74.06,2021
2021-01-15,88,31.66,74.84,2021
2021-01-14,83,31.26,74.28,2021
2021-01-13,78,33.66,72.8,2021
2021-01-12,84,30.86,73.19,2021
2021-01-11,90,30.05,72.88,2021
2021-01-10,94,30.3,71.47,2021
2021-01-09,93,31.67,73.93,2021
2021-01-08,93,25.5,72.66,2021
2021-01-07,91,30.66,73.42,2021
2021-01-06,95,35.46,74.98,2021
2021-01-05,93,34.73,73.67,2021
2021-01-04,94,36.22,74.75,2021
2021-01-03,93,37.59,75.89,2021
2021-01-02,94,40.66,74.79,2021
2021-01-01,94,39.23,77.04,2021
2020-12-31,95,40.37,76.21,2020
2020-12-30,91,38.21,75.58,2020
2020-12-29,91,36.8,74.56,2020
2020-12-28,92,36.3,76.15,2020
2020-12-27,91,38.45,74.75,2020
2020-12-26,93,38.73,72.86,2020
2020-12-25,94,39.08,75.23,2020
2020-12-24,86,37.29,74.67,2020
2020-12-23,93,38.46,75.74,2020
2020-12-22,88,37.95,74.73,2020
2020-12-21,92,41.97,74.62,2020
2020-12-20,92,40.85,74.36,2020
2020-12-19,93,36.15,74.24,2020
2020-12-18,95,33.89,73.9,2020
2020-12-17,92,35.2,75.04,2020
2020-12-16,92,34.83,74.48,2020
2020-12-15,91,35.9,73.97,2020
2020-12-14,95,34.8,74.65,2020
2020-12-13,91,36.25,73.64,2020
2020-12-12,90,34.22,74.88,2020
2020-12-11,89,33.67,73.75,2020
2020-12-10,94,34.83,75.04,2020
2020-12-09,86,35.57,74.78,2020
2020-12-08,95,36.46,74.83,2020
2020-12-07,94,36.31,74.91,2020
2020-12-06,95,33.88,74.23,2020
2020-12-05,93,36.28,74.03,2020
2020-12-04,92,35.03,75.75,2020
2020-12-03,92,36.41,74.79,2020
2020-12-02,92,36.68,74.96,2020
2020-12-01,95,35.22,74.35,2020
2020-11-30,88,32.56,73.52,2020
2020-11-29,89,34.91,72.5,2020
2020-11-28,87,36.3,72.19,2020
2020-11-27,86,35.31,73.51,2020
2020-11-26,93,37.62,74.82,2020
2020-11-25,94,35.98,75.11,2020
2020-11-24,88,36.79,73.1,2020
2020-11-23,90,39.29,74.64,2020
2020-11-22,94,37.34,72.8,2020
2020-11-21,91,38.23,74.69,2020
2020-11-20,86,38.04,75.83,2020
2020-11-19,94,36.95,74.32,2020
2020-11-18,91,35.13,74.62,2020
2020-11-17,86,36.95,74,2020
2020-11-16,90,36.83,74.82,2020
2020-11-15,86,37.06,74.79,2020
2020-11-14,90,35.62,75.22,2020
2020-11-13,89,34.5,75.47,2020
2020-11-12,87,34.55,74.63,2020
2020-11-11,86,33.12,74.94,2020
2020-11-10,90,36.15,73.12,2020
2020-11-09,90,32.64,74.18,2020
2020-11-08,82,30.32,72.79,2020
2020-11-07,88,29.91,74.42,2020
2020-11-06,90,31.23,73.37,2020
2020-11-05,72,32.45,72.56,2020
2020-11-04,74,33.76,74.32,2020
2020-11-03,71,33.01,73.99,2020
2020-11-02,71,34.82,74.41,2020
2020-11-01,72,35.07,74.51,2020
2020-10-31,73,32.53,75.34,2020
2020-10-30,74,33.18,75.78,2020
2020-10-29,67,33.87,75.19,2020
2020-10-28,70,32.57,74.82,2020
2020-10-27,61,33,73.1,2020
2020-10-26,75,36.27,74.17,2020
2020-10-25,76,34.05,73.85,2020
2020-10-24,73,34.52,74.42,2020
2020-10-23,74,33.67,75.13,2020
2020-10-22,73,34.25,74.42,2020
2020-10-21,61,33.51,74.76,2020
2020-10-20,56,34.55,73.16,2020
2020-10-19,55,33.98,73.41,2020
2020-10-18,55,34.27,72.59,2020
2020-10-17,56,35.58,74.08,2020
2020-10-16,52,36.02,74.81,2020
2020-10-15,56,34.18,74.79,2020
2020-10-14,53,34.54,74.21,2020
2020-10-13,56,32.82,72.71,2020
2020-10-12,52,33.05,72.37,2020
2020-10-11,55,34.23,71.91,2020
2020-10-10,53,34.75,75.2,2020
2020-10-09,48,36.06,74.29,2020
2020-10-08,46,34.21,74.88,2020
2020-10-07,43,35.3,74.19,2020
2020-10-06,47,36.47,75.25,2020
2020-10-05,42,40.18,75.2,2020
2020-10-04,42,41.73,75.09,2020
2020-10-03,40,41.12,75.78,2020
2020-10-02,41,32.07,74.66,2020
2020-10-01,45,31.27,73.89,2020
2020-09-30,49,32.2,73.76,2020
2020-09-29,45,30.14,71.41,2020
2020-09-28,43,30.12,71.18,2020
2020-09-27,47,29.95,71.96,2020
2020-09-26,45,31.36,73.11,2020
2020-09-25,46,31.2,74.08,2020
2020-09-24,39,31.08,72.52,2020
2020-09-23,43,32.89,74.66,2020
2020-09-22,39,30.44,72.33,2020
2020-09-21,48,28.34,70.1,2020
2020-09-20,52,26.75,70.27,2020
2020-09-19,48,31.78,74.03,2020
2020-09-18,49,31.01,74.54,2020
2020-09-17,48,31.66,75.02,2020
2020-09-16,43,31.09,74.2,2020
2020-09-15,47,31.23,73.06,2020
2020-09-14,39,31.98,72.89,2020
2020-09-13,38,31.85,70.87,2020
2020-09-12,41,31.49,73.27,2020
2020-09-11,41,31.95,74.15,2020
2020-09-10,38,31.94,74.1,2020
2020-09-09,38,32.9,73.99,2020
2020-09-08,41,32.08,70.77,2020
2020-09-07,41,30.25,72.03,2020
2020-09-06,41,31.51,71.67,2020
2020-09-05,41,32.78,73.18,2020
2020-09-04,40,33.43,74.68,2020
2020-09-03,79,33.05,74.74,2020
2020-09-02,83,32.81,74.49,2020
2020-09-01,75,33.48,73.64,2020
2020-08-31,75,32.06,73.8,2020
2020-08-30,75,30.93,69.7,2020
2020-08-29,79,32.04,73.19,2020
2020-08-28,74,31.45,74.53,2020
2020-08-27,75,32.37,74.12,2020
2020-08-26,76,34.14,74.95,2020
2020-08-25,75,34.44,73.98,2020
2020-08-24,78,34.27,74.2,2020
2020-08-23,76,34.87,72.22,2020
2020-08-22,78,34.47,74.17,2020
2020-08-21,81,33.33,73.47,2020
2020-08-20,75,33.6,73.65,2020
2020-08-19,80,34.74,74,2020
2020-08-18,82,34.49,72.65,2020
2020-08-17,83,35.5,73.69,2020
2020-08-16,82,35.55,72.82,2020
2020-08-15,79,34.96,74.13,2020
2020-08-14,78,35.98,73.82,2020
2020-08-13,75,35.41,73.87,2020
2020-08-12,75,35.3,73.99,2020
2020-08-11,84,34.98,73.07,2020
2020-08-10,78,37.05,75.1,2020
2020-08-09,79,36.24,72.45,2020
2020-08-08,77,36.32,74.19,2020
2020-08-07,77,36.78,75.02,2020
2020-08-06,79,36.69,74.5,2020
2020-08-05,75,35.49,74.59,2020
2020-08-04,72,36.15,73.06,2020
2020-08-03,75,40.42,72,2020
2020-08-02,80,35.98,73.24,2020
2020-08-01,75,37.84,75.81,2020
2020-07-31,75,38.55,74.7,2020
2020-07-30,76,38.67,74.8,2020
2020-07-29,71,39.02,75.09,2020
2020-07-28,76,40.12,73.52,2020
2020-07-27,58,39.05,72.92,2020
2020-07-26,55,39.59,71.83,2020
2020-07-25,55,37.45,74.39,2020
2020-07-24,53,39.49,74.39,2020
2020-07-23,55,37.3,73.87,2020
2020-07-22,50,38.28,73.86,2020
2020-07-21,44,37.49,72.18,2020
2020-07-20,44,40.21,72.71,2020
2020-07-19,41,38.51,71.25,2020
2020-07-18,44,38.55,73.66,2020
2020-07-17,41,37.78,73.69,2020
2020-07-16,43,38.68,73.4,2020
2020-07-15,44,38.75,73.55,2020
2020-07-14,43,38.07,71.74,2020
2020-07-13,43,41.92,72.09,2020
2020-07-12,41,40.6,70.42,2020
2020-07-11,44,37.83,72.26,2020
2020-07-10,41,37.56,74.03,2020
2020-07-09,44,38.5,72.34,2020
2020-07-08,44,39.28,73.08,2020
2020-07-07,43,39.19,72.98,2020
